Result,Exit_Velocity,Launch_Angle,Distance,Direction,Pitch,Pitch_Type
field_out,101.2,5,109,Pull,85.2,Changeup
field_out,92.2,34,339,Opposite,75.7,Curveball
field_out,84.4,26,289,Straightaway,91.2,Cutter
field_out,93,-15,8,Straightaway,94.6,2-Seam Fastball
field_out,100.7,-4,25,Straightaway,96.4,2-Seam Fastball
single,95.9,16,275,Straightaway,94.7,4-Seam Fastball
single,93.8,17,264,Pull,98.7,4-Seam Fastball
field_out,108.4,9,155,Straightaway,90,4-Seam Fastball
single,87.8,14,189,Opposite,90.8,Sinker
field_out,93.1,27,347,Pull,94.5,4-Seam Fastball
single,108,21,353,Pull,81.8,Slider
field_out,98.3,25,389,Straightaway,93.6,4-Seam Fastball
field_out,86,-25,4,Pull,81.1,Knuckle Curve
field_out,101.4,-2,30,Straightaway,87.7,Slider
field_out,94.1,46,327,Opposite,88.1,4-Seam Fastball
field_out,91.2,28,373,Straightaway,89.2,4-Seam Fastball
home_run,101.1,34,376,Opposite,96.8,4-Seam Fastball
home_run,95.7,33,370,Pull,89.8,2-Seam Fastball
field_out,86.8,30,307,Opposite,96.3,4-Seam Fastball
single,100.5,1,57,Pull,86.1,Changeup
field_out,79.2,49,234,Straightaway,91.5,4-Seam Fastball
single,103.4,0,52,Straightaway,93.2,4-Seam Fastball
field_out,75.4,4,61,Straightaway,73.3,Knuckleball
single,96.9,-1,36,Straightaway,90.9,2-Seam Fastball
field_out,94.8,-8,17,Pull,91.7,2-Seam Fastball
single,94.5,-4,29,Straightaway,92.2,2-Seam Fastball
double,98.1,26,344,Opposite,79.5,Curveball
single,96.2,8,146,Straightaway,96.7,2-Seam Fastball
field_out,108,3,74,Pull,95.8,4-Seam Fastball
double,101,14,209,Pull,82.9,Curveball
field_out,88.8,24,292,Pull,82.5,Slider
field_out,42.2,77,47,Pull,90.5,4-Seam Fastball
field_out,83.1,-9,11,Pull,82.1,Slider
field_out,104.1,19,327,Opposite,86.9,Changeup
single,104.6,2,69,Pull,90.2,Sinker
single,90.7,10,154,Opposite,86.7,Slider
home_run,104.2,26,360,Pull,94,4-Seam Fastball
field_out,72.6,-18,7,Straightaway,85.5,Slider
field_out,68.3,-36,2,Straightaway,94.4,Sinker
field_out,84.8,41,300,Straightaway,89.7,4-Seam Fastball
field_out,104.9,18,312,Opposite,94.9,4-Seam Fastball
field_out,89.5,-18,4,Straightaway,83.7,Knuckle Curve
home_run,107.8,31,404,Pull,95.8,Sinker
home_run,107.8,22,416,Opposite,90.7,4-Seam Fastball
double,95.7,18,293,Opposite,97.8,4-Seam Fastball
field_out,102.3,6,95,Pull,94.5,Sinker
double,97.4,36,351,Opposite,88.5,2-Seam Fastball
field_out,98.8,39,379,Opposite,95.1,4-Seam Fastball
field_out,74.2,-42,3,Pull,86.8,Slider
home_run,106.6,32,421,Straightaway,92.9,4-Seam Fastball
single,86.6,15,199,Pull,94,4-Seam Fastball
field_out,89.8,25,325,Pull,89.7,4-Seam Fastball
field_out,89.9,0,39,Straightaway,80.2,Knuckle Curve
field_out,100.2,24,368,Opposite,97,4-Seam Fastball
single,104.8,9,162,Straightaway,82.2,Changeup
field_out,99.8,45,331,Opposite,89.2,2-Seam Fastball
field_out,98.9,-4,26,Pull,90.9,4-Seam Fastball
single,106.7,15,210,Straightaway,93.6,4-Seam Fastball
field_out,82.9,13,160,Straightaway,86.9,Changeup
single,78.2,22,247,Opposite,80.2,Slider
single,91.6,-5,22,Pull,88.1,4-Seam Fastball
field_out,89.7,47,281,Opposite,95.4,4-Seam Fastball
field_out,88.5,-20,8,Pull,88.9,2-Seam Fastball
field_out,93.6,33,369,Opposite,91.8,2-Seam Fastball
field_out,99.4,17,321,Opposite,92.5,4-Seam Fastball
double,103.5,19,343,Straightaway,91.6,4-Seam Fastball
single,103.1,8,123,Straightaway,84.9,Slider
field_out,60.2,-16,7,Straightaway,85,Slider
field_out,101.1,-1,39,Pull,89.8,2-Seam Fastball
field_out,96.1,-10,12,Straightaway,89.8,2-Seam Fastball
single,91.3,7,112,Straightaway,90.1,2-Seam Fastball
single,98,1,48,Pull,87.5,4-Seam Fastball
single,92.6,23,295,Opposite,87.2,Sinker
double,101.5,14,203,Pull,92.1,4-Seam Fastball
field_out,99.1,-7,14,Pull,93.3,4-Seam Fastball
field_out,85.7,-12,12,Pull,81.3,Changeup
field_out,69.8,-38,3,Opposite,92,4-Seam Fastball
single,97.3,13,202,Pull,95.2,4-Seam Fastball
field_out,42.6,-54,1,Straightaway,86.6,Cutter
single,76,9,110,Opposite,81.2,Split-Finger
field_out,96.9,29,380,Straightaway,90.5,4-Seam Fastball
field_out,92.4,-2,26,Straightaway,91.3,4-Seam Fastball
field_out,101.4,17,336,Opposite,87.2,Changeup
field_out,101,0,40,Straightaway,91.2,4-Seam Fastball
single,104.7,9,141,Pull,93.3,4-Seam Fastball
field_out,101.6,18,350,Straightaway,82.5,Split-Finger
field_out,86.9,3,62,Pull,90.4,4-Seam Fastball
field_out,52.6,2,33,Pull,91.8,4-Seam Fastball
field_out,89.8,45,294,Opposite,89.7,Slider
field_out,77.6,-17,6,Pull,94.5,2-Seam Fastball
field_out,92.7,42,373,Pull,94.7,4-Seam Fastball
field_out,102.8,16,300,Straightaway,95.8,4-Seam Fastball
field_out,84.5,45,285,Straightaway,92.4,4-Seam Fastball
field_out,94.4,-12,9,Straightaway,93,4-Seam Fastball
single,103.7,13,212,Pull,92.8,4-Seam Fastball
field_out,87.7,29,289,Opposite,98,4-Seam Fastball
field_out,96.5,37,355,Straightaway,86,Changeup
field_out,56,-43,2,Straightaway,83.4,Split-Finger
field_out,87.3,1,38,Straightaway,83.6,Split-Finger
field_out,101.1,-9,14,Straightaway,83.7,Split-Finger
field_out,98.6,23,370,Straightaway,90.9,4-Seam Fastball
single,95.4,13,194,Straightaway,93.1,4-Seam Fastball
field_out,94.1,-4,29,Straightaway,83.6,Changeup
field_out,95.2,35,377,Straightaway,70.4,Knuckleball
field_out,89.4,2,56,Pull,76.9,Changeup
